auc_eligible_genes,auprc_macro,auroc_macro,dataset,mae,mask_seed,masked_genes,model,mse,pcc_gene_macro,pcc_global,pcc_sample_macro,reason,samples,spearman_global,status,supported
1337.0,0.8566261209941556,0.8344889058590629,OSDR,1.0113016366958618,20260723,2188.0,BulkFormer_93M,1.7870426177978516,0.6801557419010118,0.7371743606513137,0.7309149049076936,,2099.0,0.7250457597959143,complete,True
1581.0,0.8108778912602111,0.8687448735695197,TCGA,0.5473428964614868,20260723,2188.0,BulkFormer_93M,0.5882340669631958,0.6953515592011983,0.8761712020018975,0.8742305711575261,,3481.0,0.8754025256651092,complete,True
1543.0,0.7968843482572278,0.8667790596376495,TCGA,0.5492289066314697,20260724,2188.0,BulkFormer_93M,0.60857093334198,0.6859941701571746,0.875279400959008,0.8734352886419946,,3481.0,0.8775954575951361,complete,True
1565.0,0.8040119547729727,0.8674445598101412,TCGA,0.5310743451118469,20260725,2188.0,BulkFormer_93M,0.5560299158096313,0.6935442738123545,0.8831069224675331,0.8813755490149071,,3481.0,0.8811889525766738,complete,True
1346.0,0.8446593084490946,0.8247705188219351,OSDR,0.9631161689758301,20260724,2188.0,BulkFormer_147M,1.6232502460479736,0.6815491852523743,0.756977975181309,0.7514756977870499,,2099.0,0.7429674246285966,complete,True
1342.0,0.8446437078065949,0.8281891142410122,OSDR,0.9404643774032593,20260725,2188.0,BulkFormer_147M,1.547680139541626,0.6791616255517773,0.7709311931740879,0.7664937241807785,,2099.0,0.7591849873170422,complete,True
1337.0,0.8517242221590979,0.8288441490595967,OSDR,0.9796628952026367,20260723,2188.0,BulkFormer_147M,1.7195818424224854,0.6836259889672198,0.7450304946129704,0.7388457853263648,,2099.0,0.7321513853800511,complete,True
1581.0,0.8328800728134403,0.8917085051016067,TCGA,0.48861294984817505,20260723,2188.0,BulkFormer_147M,0.5059099793434143,0.7392408250345995,0.8938825120333691,0.8921967882666222,,3481.0,0.8918690345274315,complete,True
1543.0,0.8151991000185802,0.8866657033176996,TCGA,0.495295912027359,20260724,2188.0,BulkFormer_147M,0.5371416807174683,0.7268374523293527,0.8903053079482933,0.8887278766544411,,3481.0,0.8905930947916818,complete,True
1565.0,0.8219272921164699,0.8872569886248896,TCGA,0.48257914185523987,20260725,2188.0,BulkFormer_147M,0.49848517775535583,0.7315461983592948,0.8952053228700823,0.8935954118555766,,3481.0,0.8925811988251471,complete,True
1346.0,0.8537336037652337,0.8371034680283108,OSDR,0.9022122025489807,20260724,2188.0,BulkFormer_37M,1.525047779083252,0.6425411249979143,0.7591133741149637,0.7524693290241109,,2099.0,0.7492120765532194,complete,True
1342.0,0.8496342050444575,0.8356897391401675,OSDR,0.8897820711135864,20260725,2188.0,BulkFormer_37M,1.4399110078811646,0.6396341304514344,0.7742929578426078,0.770249084454596,,2099.0,0.7650957316573501,complete,True
1337.0,0.8543792572139376,0.8358144397963991,OSDR,0.9350836873054504,20260723,2188.0,BulkFormer_37M,1.6479387283325195,0.644250839382623,0.7435079119777259,0.7360838583363074,,2099.0,0.7333183861215918,complete,True
1581.0,0.795101299450101,0.8479289840759251,TCGA,0.5425219535827637,20260723,2188.0,BulkFormer_37M,0.6238599419593811,0.6554194652132836,0.8683737514074258,0.8662350579638208,,3481.0,0.8689320812925353,complete,True
1543.0,0.776423539314439,0.8411608662951975,TCGA,0.5388935208320618,20260724,2188.0,BulkFormer_37M,0.6176955103874207,0.6410005682023595,0.8736183564629344,0.8718254857794782,,3481.0,0.8764115445214998,complete,True
1565.0,0.7863059482768329,0.8476895637668018,TCGA,0.5278551578521729,20260725,2188.0,BulkFormer_37M,0.5834732055664062,0.6513847095516739,0.8773792150573483,0.8755545699024502,,3481.0,0.8775413641489707,complete,True
1346.0,0.9540003519062606,0.9558326853027767,OSDR,0.4345662593841553,20260724,2188.0,BRIDGE,0.6541659832000732,0.9184304441760353,0.9035599438466896,0.9007265265070864,,2099.0,0.8882113912937033,complete,True
1342.0,0.9494012400031273,0.9557667608589534,OSDR,0.41909679770469666,20260725,2188.0,BRIDGE,0.5913804769515991,0.9138808671329756,0.9137326574569762,0.9114211571960577,,2099.0,0.8992414320179967,complete,True
1337.0,0.9510499454736857,0.9533395983328905,OSDR,0.45180773735046387,20260723,2188.0,BRIDGE,0.7527109384536743,0.9164844735432739,0.8906394226448859,0.8875118731430112,,2099.0,0.8758365341848107,complete,True
1581.0,0.855344750328661,0.9137480234187394,TCGA,0.40990450978279114,20260723,2188.0,BRIDGE,0.4097309410572052,0.7771253256186486,0.9149063593528497,0.9134042109439031,,3481.0,0.9133960227011129,complete,True
1543.0,0.8433191007301452,0.909510173522546,TCGA,0.41121166944503784,20260724,2188.0,BRIDGE,0.41575777530670166,0.7684475246404736,0.9158970866316397,0.9146710662997958,,3481.0,0.9132840230686878,complete,True
1565.0,0.8483417581704217,0.9128937560198563,TCGA,0.40592101216316223,20260725,2188.0,BRIDGE,0.40823689103126526,0.7740054287843522,0.9158435545148036,0.9145043125888186,,3481.0,0.9151586771798355,complete,True
,,,TCGA,,20260723,,ESM2_PCA512_prior,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260724,,ESM2_PCA512_prior,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260725,,ESM2_PCA512_prior,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260723,,ESM2_PCA512_prior,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260724,,ESM2_PCA512_prior,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260725,,ESM2_PCA512_prior,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260723,,Geneformer,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260724,,Geneformer,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260725,,Geneformer,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260723,,Geneformer,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260724,,Geneformer,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260725,,Geneformer,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260723,,scGPT,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260724,,scGPT,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260725,,scGPT,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260723,,scGPT,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260724,,scGPT,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260725,,scGPT,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260723,,Txn_Jatin_contextual,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260724,,Txn_Jatin_contextual,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,TCGA,,20260725,,Txn_Jatin_contextual,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260723,,Txn_Jatin_contextual,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260724,,Txn_Jatin_contextual,,,,,No validated bulk-expression decoder.,,,not_applicable,False
,,,OSDR,,20260725,,Txn_Jatin_contextual,,,,,No validated bulk-expression decoder.,,,not_applicable,False
